denominator_id,denominator_name,denominator_table_name,outcome_id,outcome_name,outcome_table_name,time_at_risk
1,all_population,all_population,1,atopic_dermatitis,allergy_cohorts,NA
1,all_population,all_population,2,anaphylaxis,allergy_cohorts,NA
1,all_population,all_population,3,allergic_rhinitis,allergy_cohorts,NA
1,all_population,all_population,4,food_allergy,allergy_cohorts,NA
1,all_population,all_population,1,breastcancer_1yd,cancer_cohorts,NA
1,all_population,all_population,2,breastcancer_2yd,cancer_cohorts,NA
1,all_population,all_population,3,breastcancer_3yd,cancer_cohorts,NA
1,all_population,all_population,4,breastcancer,cancer_cohorts,NA
1,all_population,all_population,5,colorectalcancer_1yd,cancer_cohorts,NA
1,all_population,all_population,6,colorectalcancer_2yd,cancer_cohorts,NA
1,all_population,all_population,7,colorectalcancer_3yd,cancer_cohorts,NA
1,all_population,all_population,8,colorectalcancer,cancer_cohorts,NA
1,all_population,all_population,9,livercancer_1yd,cancer_cohorts,NA
1,all_population,all_population,10,livercancer_2yd,cancer_cohorts,NA
1,all_population,all_population,11,livercancer_3yd,cancer_cohorts,NA
1,all_population,all_population,12,livercancer,cancer_cohorts,NA
1,all_population,all_population,13,lungcancer_1yd,cancer_cohorts,NA
1,all_population,all_population,14,lungcancer_2yd,cancer_cohorts,NA
1,all_population,all_population,15,lungcancer_3yd,cancer_cohorts,NA
1,all_population,all_population,16,lungcancer,cancer_cohorts,NA
1,all_population,all_population,17,pancreascancer_1yd,cancer_cohorts,NA
1,all_population,all_population,18,pancreascancer_2yd,cancer_cohorts,NA
1,all_population,all_population,19,pancreascancer_3yd,cancer_cohorts,NA
1,all_population,all_population,20,pancreascancer,cancer_cohorts,NA
1,all_population,all_population,21,prostatecancer_1yd,cancer_cohorts,NA
1,all_population,all_population,22,prostatecancer_2yd,cancer_cohorts,NA
1,all_population,all_population,23,prostatecancer_3yd,cancer_cohorts,NA
1,all_population,all_population,24,prostatecancer,cancer_cohorts,NA
1,all_population,all_population,25,stomachcancer_1yd,cancer_cohorts,NA
1,all_population,all_population,26,stomachcancer_2yd,cancer_cohorts,NA
1,all_population,all_population,27,stomachcancer_3yd,cancer_cohorts,NA
1,all_population,all_population,28,stomachcancer,cancer_cohorts,NA
1,all_population,all_population,1,afib_1yd,pulmo_cohorts,NA
1,all_population,all_population,2,afib_2yd,cardio_cohorts,NA
1,all_population,all_population,3,afib_3yd,cardio_cohorts,NA
1,all_population,all_population,4,afib,cardio_cohorts,NA
1,all_population,all_population,5,ami_1md,cardio_cohorts,NA
1,all_population,all_population,6,ami_1yd,cardio_cohorts,NA
1,all_population,all_population,7,ami_2yd,cardio_cohorts,NA
1,all_population,all_population,8,ami_3md,cardio_cohorts,NA
1,all_population,all_population,9,ami_3yd,cardio_cohorts,NA
1,all_population,all_population,10,ami,cardio_cohorts,NA
1,all_population,all_population,11,as_1yd,cardio_cohorts,NA
1,all_population,all_population,12,as_2yd,cardio_cohorts,NA
1,all_population,all_population,13,as_3yd,cardio_cohorts,NA
1,all_population,all_population,14,as,cardio_cohorts,NA
1,all_population,all_population,15,hf_1yd,cardio_cohorts,NA
1,all_population,all_population,16,hf_2yd,cardio_cohorts,NA
1,all_population,all_population,17,hf_3yd,cardio_cohorts,NA
1,all_population,all_population,18,hf,cardio_cohorts,NA
1,all_population,all_population,19,hypertension_1yd,cardio_cohorts,NA
1,all_population,all_population,20,hypertension_2yd,cardio_cohorts,NA
1,all_population,all_population,21,hypertension_3yd,cardio_cohorts,NA
1,all_population,all_population,22,hypertension,cardio_cohorts,NA
1,all_population,all_population,23,stroke_1md,cardio_cohorts,NA
1,all_population,all_population,24,stroke_1yd,cardio_cohorts,NA
1,all_population,all_population,25,stroke_2yd,cardio_cohorts,NA
1,all_population,all_population,26,stroke_3md,cardio_cohorts,NA
1,all_population,all_population,27,stroke_3yd,cardio_cohorts,NA
1,all_population,all_population,28,stroke,cardio_cohorts,NA
1,all_population,all_population,1,mortality,general_cohorts,NA
1,all_population,all_population,2,inpatient_visit,general_cohorts,NA
1,all_population,all_population,3,outpatient_visit,general_cohorts,NA
1,all_population,all_population,1,asthma_1yd,pulmo_cohorts,NA
1,all_population,all_population,2,asthma_2yd,pulmo_cohorts,NA
1,all_population,all_population,3,asthma_3yd,pulmo_cohorts,NA
1,all_population,all_population,4,asthma,pulmo_cohorts,NA
1,all_population,all_population,5,copd_1yd,pulmo_cohorts,NA
1,all_population,all_population,6,copd_2yd,pulmo_cohorts,NA
1,all_population,all_population,7,copd_3yd,pulmo_cohorts,NA
1,all_population,all_population,8,copd,pulmo_cohorts,NA
1,all_population,all_population,9,ild_1yd,pulmo_cohorts,NA
1,all_population,all_population,10,ild_2yd,pulmo_cohorts,NA
1,all_population,all_population,11,ild_3yd,pulmo_cohorts,NA
1,all_population,all_population,12,ild,pulmo_cohorts,NA